seed,fbank_size,ckpt_path,query_sim_only,query
0,2,results/tau_1_ground_truth_feats_ljts/tversky_proj_1785777258.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 0, 1: 1000, 2: 0}, 'n_both_nonempty': 0, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 3, 1: 93, 2: 904}, 'n_both_nonempty': 904, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 0, 1: 1000, 2: 0}, 'n_both_nonempty': 0, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 3, 1: 93, 2: 904}, 'n_both_nonempty': 904, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
1,2,results/tau_1_ground_truth_feats_ljts/tversky_proj_1785777262.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 0, 1: 297, 2: 703}, 'n_both_nonempty': 703, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 11, 1: 685, 2: 304}, 'n_both_nonempty': 304, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 0, 1: 297, 2: 703}, 'n_both_nonempty': 703, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 11, 1: 685, 2: 304}, 'n_both_nonempty': 304, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
2,2,results/tau_1_ground_truth_feats_ljts/tversky_proj_1785777265.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 0, 1: 138, 2: 862}, 'n_both_nonempty': 862, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 8, 1: 851, 2: 141}, 'n_both_nonempty': 141, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 0, 1: 138, 2: 862}, 'n_both_nonempty': 862, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 8, 1: 851, 2: 141}, 'n_both_nonempty': 141, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
0,4,results/tau_1_ground_truth_feats_ljts/tversky_proj_1785777269.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 0, 1: 0, 2: 1000}, 'n_both_nonempty': 1000, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 7, 1: 226, 2: 767}, 'n_both_nonempty': 767, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 0, 1: 0, 2: 1000}, 'n_both_nonempty': 1000, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 7, 1: 226, 2: 767}, 'n_both_nonempty': 767, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
1,4,results/tau_1_ground_truth_feats_ljts/tversky_proj_1785777273.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 0, 1: 138, 2: 862}, 'n_both_nonempty': 862, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 8, 1: 758, 2: 234}, 'n_both_nonempty': 234, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 0, 1: 138, 2: 862}, 'n_both_nonempty': 862, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 8, 1: 758, 2: 234}, 'n_both_nonempty': 234, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
2,4,results/tau_1_ground_truth_feats_ljts/tversky_proj_1785777277.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 0, 1: 750, 2: 250}, 'n_both_nonempty': 250, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 0, 1: 43, 2: 957}, 'n_both_nonempty': 957, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 0, 1: 750, 2: 250}, 'n_both_nonempty': 250, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 0, 1: 43, 2: 957}, 'n_both_nonempty': 957, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
0,8,results/tau_1_ground_truth_feats_ljts/tversky_proj_1785777281.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 0, 1: 0, 2: 1000}, 'n_both_nonempty': 1000, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 0, 1: 7, 2: 993}, 'n_both_nonempty': 993, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 0, 1: 0, 2: 1000}, 'n_both_nonempty': 1000, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 0, 1: 7, 2: 993}, 'n_both_nonempty': 993, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
1,8,results/tau_1_ground_truth_feats_ljts/tversky_proj_1785777286.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 0, 1: 0, 2: 1000}, 'n_both_nonempty': 1000, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 0, 1: 122, 2: 878}, 'n_both_nonempty': 878, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 0, 1: 0, 2: 1000}, 'n_both_nonempty': 1000, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 0, 1: 122, 2: 878}, 'n_both_nonempty': 878, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
2,8,results/tau_1_ground_truth_feats_ljts/tversky_proj_1785777290.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 0, 1: 297, 2: 703}, 'n_both_nonempty': 703, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 0, 1: 467, 2: 533}, 'n_both_nonempty': 533, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 0, 1: 297, 2: 703}, 'n_both_nonempty': 703, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 0, 1: 467, 2: 533}, 'n_both_nonempty': 533, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
0,16,results/tau_1_ground_truth_feats_ljts/tversky_proj_1785777294.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 0, 1: 0, 2: 1000}, 'n_both_nonempty': 1000, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 0, 1: 0, 2: 1000}, 'n_both_nonempty': 1000, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 0, 1: 0, 2: 1000}, 'n_both_nonempty': 1000, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 0, 1: 0, 2: 1000}, 'n_both_nonempty': 1000, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
