seed,fbank_size,ckpt_path,query_sim_only,query
0,2,results/ljts/tversky_proj_1785774968.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 411, 1: 580, 2: 9}, 'n_both_nonempty': 9, 'n_ttest_run': 9, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 404, 1: 593, 2: 3}, 'n_both_nonempty': 3, 'n_ttest_run': 3, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 411, 1: 580, 2: 9}, 'n_both_nonempty': 9, 'n_ttest_run': 9, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 404, 1: 593, 2: 3}, 'n_both_nonempty': 3, 'n_ttest_run': 3, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
1,2,results/ljts/tversky_proj_1785774971.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 132, 1: 733, 2: 135}, 'n_both_nonempty': 135, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 283, 1: 438, 2: 279}, 'n_both_nonempty': 279, 'n_ttest_run': 279, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 132, 1: 733, 2: 135}, 'n_both_nonempty': 135, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 283, 1: 438, 2: 279}, 'n_both_nonempty': 279, 'n_ttest_run': 279, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
2,2,results/ljts/tversky_proj_1785774975.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 304, 1: 405, 2: 291}, 'n_both_nonempty': 291, 'n_ttest_run': 291, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 312, 1: 374, 2: 314}, 'n_both_nonempty': 314, 'n_ttest_run': 314, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 304, 1: 405, 2: 291}, 'n_both_nonempty': 291, 'n_ttest_run': 291, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 312, 1: 374, 2: 314}, 'n_both_nonempty': 314, 'n_ttest_run': 314, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
0,4,results/ljts/tversky_proj_1785774979.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 58, 1: 596, 2: 346}, 'n_both_nonempty': 346, 'n_ttest_run': 258, 'n_significant': {0.05: 105, 0.01: 104, 0.001: 88}, 'frac_significant': {0.05: 0.4069767441860465, 0.01: 0.40310077519379844, 0.001: 0.34108527131782945}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 62, 1: 573, 2: 365}, 'n_both_nonempty': 365, 'n_ttest_run': 365, 'n_significant': {0.05: 21, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.057534246575342465, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 58, 1: 596, 2: 346}, 'n_both_nonempty': 346, 'n_ttest_run': 258, 'n_significant': {0.05: 105, 0.01: 104, 0.001: 88}, 'frac_significant': {0.05: 0.4069767441860465, 0.01: 0.40310077519379844, 0.001: 0.34108527131782945}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 62, 1: 573, 2: 365}, 'n_both_nonempty': 365, 'n_ttest_run': 365, 'n_significant': {0.05: 21, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.057534246575342465, 0.01: 0.0, 0.001: 0.0}}}}"
1,4,results/ljts/tversky_proj_1785774983.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 112, 1: 670, 2: 218}, 'n_both_nonempty': 218, 'n_ttest_run': 218, 'n_significant': {0.05: 105, 0.01: 105, 0.001: 73}, 'frac_significant': {0.05: 0.481651376146789, 0.01: 0.481651376146789, 0.001: 0.3348623853211009}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 100, 1: 634, 2: 266}, 'n_both_nonempty': 266, 'n_ttest_run': 266, 'n_significant': {0.05: 24, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.09022556390977443, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 112, 1: 670, 2: 218}, 'n_both_nonempty': 218, 'n_ttest_run': 218, 'n_significant': {0.05: 105, 0.01: 105, 0.001: 73}, 'frac_significant': {0.05: 0.481651376146789, 0.01: 0.481651376146789, 0.001: 0.3348623853211009}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 100, 1: 634, 2: 266}, 'n_both_nonempty': 266, 'n_ttest_run': 266, 'n_significant': {0.05: 24, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.09022556390977443, 0.01: 0.0, 0.001: 0.0}}}}"
2,4,results/ljts/tversky_proj_1785774987.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 106, 1: 613, 2: 281}, 'n_both_nonempty': 281, 'n_ttest_run': 281, 'n_significant': {0.05: 108, 0.01: 102, 0.001: 25}, 'frac_significant': {0.05: 0.38434163701067614, 0.01: 0.36298932384341637, 0.001: 0.08896797153024912}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 159, 1: 443, 2: 398}, 'n_both_nonempty': 398, 'n_ttest_run': 398, 'n_significant': {0.05: 24, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.06030150753768844, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 106, 1: 613, 2: 281}, 'n_both_nonempty': 281, 'n_ttest_run': 281, 'n_significant': {0.05: 108, 0.01: 102, 0.001: 25}, 'frac_significant': {0.05: 0.38434163701067614, 0.01: 0.36298932384341637, 0.001: 0.08896797153024912}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 159, 1: 443, 2: 398}, 'n_both_nonempty': 398, 'n_ttest_run': 398, 'n_significant': {0.05: 24, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.06030150753768844, 0.01: 0.0, 0.001: 0.0}}}}"
0,8,results/ljts/tversky_proj_1785774991.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 29, 1: 200, 2: 771}, 'n_both_nonempty': 771, 'n_ttest_run': 712, 'n_significant': {0.05: 205, 0.01: 130, 0.001: 92}, 'frac_significant': {0.05: 0.28792134831460675, 0.01: 0.18258426966292135, 0.001: 0.12921348314606743}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 26, 1: 160, 2: 814}, 'n_both_nonempty': 814, 'n_ttest_run': 814, 'n_significant': {0.05: 19, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.02334152334152334, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 29, 1: 200, 2: 771}, 'n_both_nonempty': 771, 'n_ttest_run': 712, 'n_significant': {0.05: 205, 0.01: 130, 0.001: 92}, 'frac_significant': {0.05: 0.28792134831460675, 0.01: 0.18258426966292135, 0.001: 0.12921348314606743}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 26, 1: 160, 2: 814}, 'n_both_nonempty': 814, 'n_ttest_run': 814, 'n_significant': {0.05: 19, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.02334152334152334, 0.01: 0.0, 0.001: 0.0}}}}"
1,8,results/ljts/tversky_proj_1785774996.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 2, 1: 143, 2: 855}, 'n_both_nonempty': 855, 'n_ttest_run': 253, 'n_significant': {0.05: 62, 0.01: 49, 0.001: 2}, 'frac_significant': {0.05: 0.2450592885375494, 0.01: 0.19367588932806323, 0.001: 0.007905138339920948}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 37, 1: 148, 2: 815}, 'n_both_nonempty': 815, 'n_ttest_run': 815, 'n_significant': {0.05: 44, 0.01: 10, 0.001: 0}, 'frac_significant': {0.05: 0.053987730061349694, 0.01: 0.012269938650306749, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 2, 1: 143, 2: 855}, 'n_both_nonempty': 855, 'n_ttest_run': 253, 'n_significant': {0.05: 62, 0.01: 49, 0.001: 2}, 'frac_significant': {0.05: 0.2450592885375494, 0.01: 0.19367588932806323, 0.001: 0.007905138339920948}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 37, 1: 148, 2: 815}, 'n_both_nonempty': 815, 'n_ttest_run': 815, 'n_significant': {0.05: 44, 0.01: 10, 0.001: 0}, 'frac_significant': {0.05: 0.053987730061349694, 0.01: 0.012269938650306749, 0.001: 0.0}}}}"
2,8,results/ljts/tversky_proj_1785775000.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 33, 1: 172, 2: 795}, 'n_both_nonempty': 795, 'n_ttest_run': 675, 'n_significant': {0.05: 219, 0.01: 161, 0.001: 97}, 'frac_significant': {0.05: 0.3244444444444444, 0.01: 0.23851851851851852, 0.001: 0.1437037037037037}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 35, 1: 102, 2: 863}, 'n_both_nonempty': 863, 'n_ttest_run': 863, 'n_significant': {0.05: 58, 0.01: 4, 0.001: 0}, 'frac_significant': {0.05: 0.06720741599073002, 0.01: 0.004634994206257242, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 33, 1: 172, 2: 795}, 'n_both_nonempty': 795, 'n_ttest_run': 675, 'n_significant': {0.05: 219, 0.01: 161, 0.001: 97}, 'frac_significant': {0.05: 0.3244444444444444, 0.01: 0.23851851851851852, 0.001: 0.1437037037037037}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 35, 1: 102, 2: 863}, 'n_both_nonempty': 863, 'n_ttest_run': 863, 'n_significant': {0.05: 58, 0.01: 4, 0.001: 0}, 'frac_significant': {0.05: 0.06720741599073002, 0.01: 0.004634994206257242, 0.001: 0.0}}}}"
0,16,results/ljts/tversky_proj_1785775005.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 2, 1: 0, 2: 998}, 'n_both_nonempty': 998, 'n_ttest_run': 864, 'n_significant': {0.05: 350, 0.01: 234, 0.001: 106}, 'frac_significant': {0.05: 0.4050925925925926, 0.01: 0.2708333333333333, 0.001: 0.12268518518518519}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 12, 1: 0, 2: 988}, 'n_both_nonempty': 988, 'n_ttest_run': 985, 'n_significant': {0.05: 99, 0.01: 13, 0.001: 0}, 'frac_significant': {0.05: 0.10050761421319797, 0.01: 0.013197969543147208, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 2, 1: 0, 2: 998}, 'n_both_nonempty': 998, 'n_ttest_run': 864, 'n_significant': {0.05: 350, 0.01: 234, 0.001: 106}, 'frac_significant': {0.05: 0.4050925925925926, 0.01: 0.2708333333333333, 0.001: 0.12268518518518519}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 12, 1: 0, 2: 988}, 'n_both_nonempty': 988, 'n_ttest_run': 985, 'n_significant': {0.05: 99, 0.01: 13, 0.001: 0}, 'frac_significant': {0.05: 0.10050761421319797, 0.01: 0.013197969543147208, 0.001: 0.0}}}}"
