seed,symmetric,fbank_size,ckpt_path,query_sim_only,query
0,True,2,results/ljts_triplet/random_1785952933.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 223, 1: 638, 2: 139}, 'n_both_nonempty': 139, 'n_ttest_run': 139, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 262, 1: 626, 2: 112}, 'n_both_nonempty': 112, 'n_ttest_run': 112, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 223, 1: 638, 2: 139}, 'n_both_nonempty': 139, 'n_ttest_run': 139, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 262, 1: 626, 2: 112}, 'n_both_nonempty': 112, 'n_ttest_run': 112, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
1,True,2,results/ljts_triplet/random_1785952943.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 296, 1: 444, 2: 260}, 'n_both_nonempty': 260, 'n_ttest_run': 260, 'n_significant': {0.05: 123, 0.01: 123, 0.001: 0}, 'frac_significant': {0.05: 0.47307692307692306, 0.01: 0.47307692307692306, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 249, 1: 544, 2: 207}, 'n_both_nonempty': 207, 'n_ttest_run': 207, 'n_significant': {0.05: 110, 0.01: 110, 0.001: 0}, 'frac_significant': {0.05: 0.5314009661835749, 0.01: 0.5314009661835749, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 296, 1: 444, 2: 260}, 'n_both_nonempty': 260, 'n_ttest_run': 260, 'n_significant': {0.05: 123, 0.01: 123, 0.001: 0}, 'frac_significant': {0.05: 0.47307692307692306, 0.01: 0.47307692307692306, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 249, 1: 544, 2: 207}, 'n_both_nonempty': 207, 'n_ttest_run': 207, 'n_significant': {0.05: 110, 0.01: 110, 0.001: 0}, 'frac_significant': {0.05: 0.5314009661835749, 0.01: 0.5314009661835749, 0.001: 0.0}}}}"
2,True,2,results/ljts_triplet/random_1785952952.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 335, 1: 319, 2: 346}, 'n_both_nonempty': 346, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 261, 1: 521, 2: 218}, 'n_both_nonempty': 218, 'n_ttest_run': 218, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 335, 1: 319, 2: 346}, 'n_both_nonempty': 346, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 261, 1: 521, 2: 218}, 'n_both_nonempty': 218, 'n_ttest_run': 218, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
0,True,4,results/ljts_triplet/random_1785952960.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 43, 1: 663, 2: 294}, 'n_both_nonempty': 294, 'n_ttest_run': 294, 'n_significant': {0.05: 145, 0.01: 145, 0.001: 145}, 'frac_significant': {0.05: 0.4931972789115646, 0.01: 0.4931972789115646, 0.001: 0.4931972789115646}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 82, 1: 529, 2: 389}, 'n_both_nonempty': 389, 'n_ttest_run': 389, 'n_significant': {0.05: 59, 0.01: 22, 0.001: 0}, 'frac_significant': {0.05: 0.15167095115681234, 0.01: 0.056555269922879174, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 43, 1: 663, 2: 294}, 'n_both_nonempty': 294, 'n_ttest_run': 294, 'n_significant': {0.05: 145, 0.01: 145, 0.001: 145}, 'frac_significant': {0.05: 0.4931972789115646, 0.01: 0.4931972789115646, 0.001: 0.4931972789115646}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 82, 1: 529, 2: 389}, 'n_both_nonempty': 389, 'n_ttest_run': 389, 'n_significant': {0.05: 59, 0.01: 22, 0.001: 0}, 'frac_significant': {0.05: 0.15167095115681234, 0.01: 0.056555269922879174, 0.001: 0.0}}}}"
1,True,4,results/ljts_triplet/random_1785952969.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 69, 1: 618, 2: 313}, 'n_both_nonempty': 313, 'n_ttest_run': 313, 'n_significant': {0.05: 95, 0.01: 95, 0.001: 21}, 'frac_significant': {0.05: 0.3035143769968051, 0.01: 0.3035143769968051, 0.001: 0.0670926517571885}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 87, 1: 517, 2: 396}, 'n_both_nonempty': 396, 'n_ttest_run': 366, 'n_significant': {0.05: 50, 0.01: 10, 0.001: 0}, 'frac_significant': {0.05: 0.1366120218579235, 0.01: 0.0273224043715847, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 69, 1: 618, 2: 313}, 'n_both_nonempty': 313, 'n_ttest_run': 313, 'n_significant': {0.05: 95, 0.01: 95, 0.001: 21}, 'frac_significant': {0.05: 0.3035143769968051, 0.01: 0.3035143769968051, 0.001: 0.0670926517571885}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 87, 1: 517, 2: 396}, 'n_both_nonempty': 396, 'n_ttest_run': 366, 'n_significant': {0.05: 50, 0.01: 10, 0.001: 0}, 'frac_significant': {0.05: 0.1366120218579235, 0.01: 0.0273224043715847, 0.001: 0.0}}}}"
2,True,4,results/ljts_triplet/random_1785952977.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 77, 1: 499, 2: 424}, 'n_both_nonempty': 424, 'n_ttest_run': 424, 'n_significant': {0.05: 79, 0.01: 50, 0.001: 36}, 'frac_significant': {0.05: 0.18632075471698112, 0.01: 0.1179245283018868, 0.001: 0.08490566037735849}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 67, 1: 414, 2: 519}, 'n_both_nonempty': 519, 'n_ttest_run': 418, 'n_significant': {0.05: 49, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.11722488038277512, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 77, 1: 499, 2: 424}, 'n_both_nonempty': 424, 'n_ttest_run': 424, 'n_significant': {0.05: 79, 0.01: 50, 0.001: 36}, 'frac_significant': {0.05: 0.18632075471698112, 0.01: 0.1179245283018868, 0.001: 0.08490566037735849}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 67, 1: 414, 2: 519}, 'n_both_nonempty': 519, 'n_ttest_run': 418, 'n_significant': {0.05: 49, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.11722488038277512, 0.01: 0.0, 0.001: 0.0}}}}"
0,True,8,results/ljts_triplet/random_1785952986.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 32, 1: 75, 2: 893}, 'n_both_nonempty': 893, 'n_ttest_run': 870, 'n_significant': {0.05: 341, 0.01: 257, 0.001: 138}, 'frac_significant': {0.05: 0.39195402298850573, 0.01: 0.29540229885057473, 0.001: 0.15862068965517243}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 40, 1: 69, 2: 891}, 'n_both_nonempty': 891, 'n_ttest_run': 891, 'n_significant': {0.05: 91, 0.01: 5, 0.001: 0}, 'frac_significant': {0.05: 0.10213243546576879, 0.01: 0.005611672278338945, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 32, 1: 75, 2: 893}, 'n_both_nonempty': 893, 'n_ttest_run': 870, 'n_significant': {0.05: 341, 0.01: 257, 0.001: 138}, 'frac_significant': {0.05: 0.39195402298850573, 0.01: 0.29540229885057473, 0.001: 0.15862068965517243}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 40, 1: 69, 2: 891}, 'n_both_nonempty': 891, 'n_ttest_run': 891, 'n_significant': {0.05: 91, 0.01: 5, 0.001: 0}, 'frac_significant': {0.05: 0.10213243546576879, 0.01: 0.005611672278338945, 0.001: 0.0}}}}"
1,True,8,results/ljts_triplet/random_1785952995.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 17, 1: 84, 2: 899}, 'n_both_nonempty': 899, 'n_ttest_run': 723, 'n_significant': {0.05: 181, 0.01: 99, 0.001: 52}, 'frac_significant': {0.05: 0.2503457814661134, 0.01: 0.13692946058091288, 0.001: 0.07192254495159059}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 48, 1: 141, 2: 811}, 'n_both_nonempty': 811, 'n_ttest_run': 811, 'n_significant': {0.05: 81, 0.01: 6, 0.001: 0}, 'frac_significant': {0.05: 0.0998766954377312, 0.01: 0.007398273736128237, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 17, 1: 84, 2: 899}, 'n_both_nonempty': 899, 'n_ttest_run': 723, 'n_significant': {0.05: 181, 0.01: 99, 0.001: 52}, 'frac_significant': {0.05: 0.2503457814661134, 0.01: 0.13692946058091288, 0.001: 0.07192254495159059}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 48, 1: 141, 2: 811}, 'n_both_nonempty': 811, 'n_ttest_run': 811, 'n_significant': {0.05: 81, 0.01: 6, 0.001: 0}, 'frac_significant': {0.05: 0.0998766954377312, 0.01: 0.007398273736128237, 0.001: 0.0}}}}"
2,True,8,results/ljts_triplet/random_1785953005.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 20, 1: 120, 2: 860}, 'n_both_nonempty': 860, 'n_ttest_run': 847, 'n_significant': {0.05: 348, 0.01: 274, 0.001: 122}, 'frac_significant': {0.05: 0.41086186540731995, 0.01: 0.3234946871310508, 0.001: 0.14403778040141677}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 44, 1: 114, 2: 842}, 'n_both_nonempty': 842, 'n_ttest_run': 826, 'n_significant': {0.05: 75, 0.01: 9, 0.001: 0}, 'frac_significant': {0.05: 0.09079903147699758, 0.01: 0.010895883777239709, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 20, 1: 120, 2: 860}, 'n_both_nonempty': 860, 'n_ttest_run': 847, 'n_significant': {0.05: 348, 0.01: 274, 0.001: 122}, 'frac_significant': {0.05: 0.41086186540731995, 0.01: 0.3234946871310508, 0.001: 0.14403778040141677}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 44, 1: 114, 2: 842}, 'n_both_nonempty': 842, 'n_ttest_run': 826, 'n_significant': {0.05: 75, 0.01: 9, 0.001: 0}, 'frac_significant': {0.05: 0.09079903147699758, 0.01: 0.010895883777239709, 0.001: 0.0}}}}"
0,True,16,results/ljts_triplet/random_1785953014.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 23, 1: 0, 2: 977}, 'n_both_nonempty': 977, 'n_ttest_run': 881, 'n_significant': {0.05: 319, 0.01: 188, 0.001: 136}, 'frac_significant': {0.05: 0.3620885357548241, 0.01: 0.2133938706015891, 0.001: 0.1543700340522134}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 53, 1: 0, 2: 947}, 'n_both_nonempty': 947, 'n_ttest_run': 939, 'n_significant': {0.05: 89, 0.01: 11, 0.001: 0}, 'frac_significant': {0.05: 0.09478168264110756, 0.01: 0.011714589989350373, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 23, 1: 0, 2: 977}, 'n_both_nonempty': 977, 'n_ttest_run': 881, 'n_significant': {0.05: 319, 0.01: 188, 0.001: 136}, 'frac_significant': {0.05: 0.3620885357548241, 0.01: 0.2133938706015891, 0.001: 0.1543700340522134}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 53, 1: 0, 2: 947}, 'n_both_nonempty': 947, 'n_ttest_run': 939, 'n_significant': {0.05: 89, 0.01: 11, 0.001: 0}, 'frac_significant': {0.05: 0.09478168264110756, 0.01: 0.011714589989350373, 0.001: 0.0}}}}"
