seed,fbank_size,ckpt_path,query_sim_only,query
0,2,results/random_no_sirl_ts/random_no_sirl_ts_1786628477.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 417, 1: 574, 2: 9}, 'n_both_nonempty': 9, 'n_ttest_run': 9, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 381, 1: 615, 2: 4}, 'n_both_nonempty': 4, 'n_ttest_run': 4, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 417, 1: 574, 2: 9}, 'n_both_nonempty': 9, 'n_ttest_run': 9, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 381, 1: 615, 2: 4}, 'n_both_nonempty': 4, 'n_ttest_run': 4, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
1,2,results/random_no_sirl_ts/random_no_sirl_ts_1786628485.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 385, 1: 208, 2: 407}, 'n_both_nonempty': 407, 'n_ttest_run': 407, 'n_significant': {0.05: 205, 0.01: 205, 0.001: 205}, 'frac_significant': {0.05: 0.5036855036855037, 0.01: 0.5036855036855037, 0.001: 0.5036855036855037}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 419, 1: 121, 2: 460}, 'n_both_nonempty': 460, 'n_ttest_run': 460, 'n_significant': {0.05: 224, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.48695652173913045, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 385, 1: 208, 2: 407}, 'n_both_nonempty': 407, 'n_ttest_run': 407, 'n_significant': {0.05: 205, 0.01: 205, 0.001: 205}, 'frac_significant': {0.05: 0.5036855036855037, 0.01: 0.5036855036855037, 0.001: 0.5036855036855037}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 419, 1: 121, 2: 460}, 'n_both_nonempty': 460, 'n_ttest_run': 460, 'n_significant': {0.05: 224, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.48695652173913045, 0.01: 0.0, 0.001: 0.0}}}}"
2,2,results/random_no_sirl_ts/random_no_sirl_ts_1786628492.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 312, 1: 372, 2: 316}, 'n_both_nonempty': 316, 'n_ttest_run': 316, 'n_significant': {0.05: 146, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.4620253164556962, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 321, 1: 342, 2: 337}, 'n_both_nonempty': 337, 'n_ttest_run': 337, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 312, 1: 372, 2: 316}, 'n_both_nonempty': 316, 'n_ttest_run': 316, 'n_significant': {0.05: 146, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.4620253164556962, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 321, 1: 342, 2: 337}, 'n_both_nonempty': 337, 'n_ttest_run': 337, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
0,4,results/random_no_sirl_ts/random_no_sirl_ts_1786628500.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 85, 1: 469, 2: 446}, 'n_both_nonempty': 446, 'n_ttest_run': 446, 'n_significant': {0.05: 130, 0.01: 33, 0.001: 16}, 'frac_significant': {0.05: 0.2914798206278027, 0.01: 0.07399103139013453, 0.001: 0.03587443946188341}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 90, 1: 382, 2: 528}, 'n_both_nonempty': 528, 'n_ttest_run': 528, 'n_significant': {0.05: 87, 0.01: 26, 0.001: 0}, 'frac_significant': {0.05: 0.16477272727272727, 0.01: 0.04924242424242424, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 85, 1: 469, 2: 446}, 'n_both_nonempty': 446, 'n_ttest_run': 446, 'n_significant': {0.05: 130, 0.01: 33, 0.001: 16}, 'frac_significant': {0.05: 0.2914798206278027, 0.01: 0.07399103139013453, 0.001: 0.03587443946188341}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 90, 1: 382, 2: 528}, 'n_both_nonempty': 528, 'n_ttest_run': 528, 'n_significant': {0.05: 87, 0.01: 26, 0.001: 0}, 'frac_significant': {0.05: 0.16477272727272727, 0.01: 0.04924242424242424, 0.001: 0.0}}}}"
1,4,results/random_no_sirl_ts/random_no_sirl_ts_1786628508.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 108, 1: 641, 2: 251}, 'n_both_nonempty': 251, 'n_ttest_run': 191, 'n_significant': {0.05: 91, 0.01: 40, 0.001: 0}, 'frac_significant': {0.05: 0.47643979057591623, 0.01: 0.2094240837696335, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 118, 1: 580, 2: 302}, 'n_both_nonempty': 302, 'n_ttest_run': 302, 'n_significant': {0.05: 33, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.10927152317880795, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 108, 1: 641, 2: 251}, 'n_both_nonempty': 251, 'n_ttest_run': 191, 'n_significant': {0.05: 91, 0.01: 40, 0.001: 0}, 'frac_significant': {0.05: 0.47643979057591623, 0.01: 0.2094240837696335, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 118, 1: 580, 2: 302}, 'n_both_nonempty': 302, 'n_ttest_run': 302, 'n_significant': {0.05: 33, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.10927152317880795, 0.01: 0.0, 0.001: 0.0}}}}"
2,4,results/random_no_sirl_ts/random_no_sirl_ts_1786628516.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 160, 1: 456, 2: 384}, 'n_both_nonempty': 384, 'n_ttest_run': 384, 'n_significant': {0.05: 196, 0.01: 125, 0.001: 107}, 'frac_significant': {0.05: 0.5104166666666666, 0.01: 0.3255208333333333, 0.001: 0.2786458333333333}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 213, 1: 315, 2: 472}, 'n_both_nonempty': 472, 'n_ttest_run': 472, 'n_significant': {0.05: 13, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.02754237288135593, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 160, 1: 456, 2: 384}, 'n_both_nonempty': 384, 'n_ttest_run': 384, 'n_significant': {0.05: 196, 0.01: 125, 0.001: 107}, 'frac_significant': {0.05: 0.5104166666666666, 0.01: 0.3255208333333333, 0.001: 0.2786458333333333}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 213, 1: 315, 2: 472}, 'n_both_nonempty': 472, 'n_ttest_run': 472, 'n_significant': {0.05: 13, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.02754237288135593, 0.01: 0.0, 0.001: 0.0}}}}"
0,8,results/random_no_sirl_ts/random_no_sirl_ts_1786628523.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 27, 1: 57, 2: 916}, 'n_both_nonempty': 916, 'n_ttest_run': 885, 'n_significant': {0.05: 276, 0.01: 188, 0.001: 52}, 'frac_significant': {0.05: 0.31186440677966104, 0.01: 0.21242937853107344, 0.001: 0.05875706214689266}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 37, 1: 79, 2: 884}, 'n_both_nonempty': 884, 'n_ttest_run': 850, 'n_significant': {0.05: 79, 0.01: 24, 0.001: 0}, 'frac_significant': {0.05: 0.09294117647058824, 0.01: 0.02823529411764706, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 27, 1: 57, 2: 916}, 'n_both_nonempty': 916, 'n_ttest_run': 885, 'n_significant': {0.05: 276, 0.01: 188, 0.001: 52}, 'frac_significant': {0.05: 0.31186440677966104, 0.01: 0.21242937853107344, 0.001: 0.05875706214689266}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 37, 1: 79, 2: 884}, 'n_both_nonempty': 884, 'n_ttest_run': 850, 'n_significant': {0.05: 79, 0.01: 24, 0.001: 0}, 'frac_significant': {0.05: 0.09294117647058824, 0.01: 0.02823529411764706, 0.001: 0.0}}}}"
1,8,results/random_no_sirl_ts/random_no_sirl_ts_1786628530.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 30, 1: 160, 2: 810}, 'n_both_nonempty': 810, 'n_ttest_run': 768, 'n_significant': {0.05: 208, 0.01: 156, 0.001: 106}, 'frac_significant': {0.05: 0.2708333333333333, 0.01: 0.203125, 0.001: 0.13802083333333334}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 79, 1: 137, 2: 784}, 'n_both_nonempty': 784, 'n_ttest_run': 784, 'n_significant': {0.05: 51, 0.01: 1, 0.001: 0}, 'frac_significant': {0.05: 0.06505102040816327, 0.01: 0.0012755102040816326, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 30, 1: 160, 2: 810}, 'n_both_nonempty': 810, 'n_ttest_run': 768, 'n_significant': {0.05: 208, 0.01: 156, 0.001: 106}, 'frac_significant': {0.05: 0.2708333333333333, 0.01: 0.203125, 0.001: 0.13802083333333334}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 79, 1: 137, 2: 784}, 'n_both_nonempty': 784, 'n_ttest_run': 784, 'n_significant': {0.05: 51, 0.01: 1, 0.001: 0}, 'frac_significant': {0.05: 0.06505102040816327, 0.01: 0.0012755102040816326, 0.001: 0.0}}}}"
2,8,results/random_no_sirl_ts/random_no_sirl_ts_1786628538.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 28, 1: 89, 2: 883}, 'n_both_nonempty': 883, 'n_ttest_run': 847, 'n_significant': {0.05: 187, 0.01: 80, 0.001: 11}, 'frac_significant': {0.05: 0.22077922077922077, 0.01: 0.09445100354191263, 0.001: 0.012987012987012988}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 49, 1: 86, 2: 865}, 'n_both_nonempty': 865, 'n_ttest_run': 865, 'n_significant': {0.05: 58, 0.01: 7, 0.001: 0}, 'frac_significant': {0.05: 0.06705202312138728, 0.01: 0.008092485549132947, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 28, 1: 89, 2: 883}, 'n_both_nonempty': 883, 'n_ttest_run': 847, 'n_significant': {0.05: 187, 0.01: 80, 0.001: 11}, 'frac_significant': {0.05: 0.22077922077922077, 0.01: 0.09445100354191263, 0.001: 0.012987012987012988}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 49, 1: 86, 2: 865}, 'n_both_nonempty': 865, 'n_ttest_run': 865, 'n_significant': {0.05: 58, 0.01: 7, 0.001: 0}, 'frac_significant': {0.05: 0.06705202312138728, 0.01: 0.008092485549132947, 0.001: 0.0}}}}"
0,16,results/random_no_sirl_ts/random_no_sirl_ts_1786628547.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 3, 1: 0, 2: 997}, 'n_both_nonempty': 997, 'n_ttest_run': 944, 'n_significant': {0.05: 400, 0.01: 318, 0.001: 175}, 'frac_significant': {0.05: 0.423728813559322, 0.01: 0.336864406779661, 0.001: 0.1853813559322034}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 52, 1: 0, 2: 948}, 'n_both_nonempty': 948, 'n_ttest_run': 945, 'n_significant': {0.05: 134, 0.01: 35, 0.001: 0}, 'frac_significant': {0.05: 0.14179894179894179, 0.01: 0.037037037037037035, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 3, 1: 0, 2: 997}, 'n_both_nonempty': 997, 'n_ttest_run': 944, 'n_significant': {0.05: 400, 0.01: 318, 0.001: 175}, 'frac_significant': {0.05: 0.423728813559322, 0.01: 0.336864406779661, 0.001: 0.1853813559322034}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 52, 1: 0, 2: 948}, 'n_both_nonempty': 948, 'n_ttest_run': 945, 'n_significant': {0.05: 134, 0.01: 35, 0.001: 0}, 'frac_significant': {0.05: 0.14179894179894179, 0.01: 0.037037037037037035, 0.001: 0.0}}}}"
