seed,fbank_size,ckpt_path,query_sim_only,query
0,2,results/no_sirl_ts/no_sirl_ts_1786626497.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 234, 1: 669, 2: 97}, 'n_both_nonempty': 97, 'n_ttest_run': 97, 'n_significant': {0.05: 43, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.44329896907216493, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 243, 1: 682, 2: 75}, 'n_both_nonempty': 75, 'n_ttest_run': 75, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 234, 1: 669, 2: 97}, 'n_both_nonempty': 97, 'n_ttest_run': 97, 'n_significant': {0.05: 43, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.44329896907216493, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 243, 1: 682, 2: 75}, 'n_both_nonempty': 75, 'n_ttest_run': 75, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
1,2,results/no_sirl_ts/no_sirl_ts_1786626513.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 224, 1: 682, 2: 94}, 'n_both_nonempty': 94, 'n_ttest_run': 94, 'n_significant': {0.05: 49, 0.01: 49, 0.001: 0}, 'frac_significant': {0.05: 0.5212765957446809, 0.01: 0.5212765957446809, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 271, 1: 673, 2: 56}, 'n_both_nonempty': 56, 'n_ttest_run': 56, 'n_significant': {0.05: 23, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.4107142857142857, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 224, 1: 682, 2: 94}, 'n_both_nonempty': 94, 'n_ttest_run': 94, 'n_significant': {0.05: 49, 0.01: 49, 0.001: 0}, 'frac_significant': {0.05: 0.5212765957446809, 0.01: 0.5212765957446809, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 271, 1: 673, 2: 56}, 'n_both_nonempty': 56, 'n_ttest_run': 56, 'n_significant': {0.05: 23, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.4107142857142857, 0.01: 0.0, 0.001: 0.0}}}}"
2,2,results/no_sirl_ts/no_sirl_ts_1786626527.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 323, 1: 367, 2: 310}, 'n_both_nonempty': 310, 'n_ttest_run': 310, 'n_significant': {0.05: 161, 0.01: 161, 0.001: 0}, 'frac_significant': {0.05: 0.5193548387096775, 0.01: 0.5193548387096775, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 310, 1: 390, 2: 300}, 'n_both_nonempty': 300, 'n_ttest_run': 300, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 323, 1: 367, 2: 310}, 'n_both_nonempty': 310, 'n_ttest_run': 310, 'n_significant': {0.05: 161, 0.01: 161, 0.001: 0}, 'frac_significant': {0.05: 0.5193548387096775, 0.01: 0.5193548387096775, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 310, 1: 390, 2: 300}, 'n_both_nonempty': 300, 'n_ttest_run': 300, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
0,4,results/no_sirl_ts/no_sirl_ts_1786626542.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 71, 1: 735, 2: 194}, 'n_both_nonempty': 194, 'n_ttest_run': 192, 'n_significant': {0.05: 114, 0.01: 80, 0.001: 54}, 'frac_significant': {0.05: 0.59375, 0.01: 0.4166666666666667, 0.001: 0.28125}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 104, 1: 602, 2: 294}, 'n_both_nonempty': 294, 'n_ttest_run': 294, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 71, 1: 735, 2: 194}, 'n_both_nonempty': 194, 'n_ttest_run': 192, 'n_significant': {0.05: 114, 0.01: 80, 0.001: 54}, 'frac_significant': {0.05: 0.59375, 0.01: 0.4166666666666667, 0.001: 0.28125}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 104, 1: 602, 2: 294}, 'n_both_nonempty': 294, 'n_ttest_run': 294, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
1,4,results/no_sirl_ts/no_sirl_ts_1786626556.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 88, 1: 634, 2: 278}, 'n_both_nonempty': 278, 'n_ttest_run': 271, 'n_significant': {0.05: 110, 0.01: 85, 0.001: 36}, 'frac_significant': {0.05: 0.4059040590405904, 0.01: 0.31365313653136534, 0.001: 0.13284132841328414}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 138, 1: 618, 2: 244}, 'n_both_nonempty': 244, 'n_ttest_run': 244, 'n_significant': {0.05: 21, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0860655737704918, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 88, 1: 634, 2: 278}, 'n_both_nonempty': 278, 'n_ttest_run': 271, 'n_significant': {0.05: 110, 0.01: 85, 0.001: 36}, 'frac_significant': {0.05: 0.4059040590405904, 0.01: 0.31365313653136534, 0.001: 0.13284132841328414}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 138, 1: 618, 2: 244}, 'n_both_nonempty': 244, 'n_ttest_run': 244, 'n_significant': {0.05: 21, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0860655737704918, 0.01: 0.0, 0.001: 0.0}}}}"
2,4,results/no_sirl_ts/no_sirl_ts_1786626570.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 87, 1: 572, 2: 341}, 'n_both_nonempty': 341, 'n_ttest_run': 341, 'n_significant': {0.05: 115, 0.01: 115, 0.001: 115}, 'frac_significant': {0.05: 0.33724340175953077, 0.01: 0.33724340175953077, 0.001: 0.33724340175953077}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 149, 1: 435, 2: 416}, 'n_both_nonempty': 416, 'n_ttest_run': 416, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 87, 1: 572, 2: 341}, 'n_both_nonempty': 341, 'n_ttest_run': 341, 'n_significant': {0.05: 115, 0.01: 115, 0.001: 115}, 'frac_significant': {0.05: 0.33724340175953077, 0.01: 0.33724340175953077, 0.001: 0.33724340175953077}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 149, 1: 435, 2: 416}, 'n_both_nonempty': 416, 'n_ttest_run': 416, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
0,8,results/no_sirl_ts/no_sirl_ts_1786626585.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 54, 1: 104, 2: 842}, 'n_both_nonempty': 842, 'n_ttest_run': 739, 'n_significant': {0.05: 210, 0.01: 96, 0.001: 65}, 'frac_significant': {0.05: 0.28416779431664413, 0.01: 0.12990527740189445, 0.001: 0.08795669824086604}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 30, 1: 124, 2: 846}, 'n_both_nonempty': 846, 'n_ttest_run': 842, 'n_significant': {0.05: 38, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.04513064133016627, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 54, 1: 104, 2: 842}, 'n_both_nonempty': 842, 'n_ttest_run': 739, 'n_significant': {0.05: 210, 0.01: 96, 0.001: 65}, 'frac_significant': {0.05: 0.28416779431664413, 0.01: 0.12990527740189445, 0.001: 0.08795669824086604}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 30, 1: 124, 2: 846}, 'n_both_nonempty': 846, 'n_ttest_run': 842, 'n_significant': {0.05: 38, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.04513064133016627, 0.01: 0.0, 0.001: 0.0}}}}"
1,8,results/no_sirl_ts/no_sirl_ts_1786626600.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 14, 1: 124, 2: 862}, 'n_both_nonempty': 862, 'n_ttest_run': 733, 'n_significant': {0.05: 267, 0.01: 176, 0.001: 46}, 'frac_significant': {0.05: 0.36425648021828105, 0.01: 0.24010914051841747, 0.001: 0.06275579809004093}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 32, 1: 125, 2: 843}, 'n_both_nonempty': 843, 'n_ttest_run': 843, 'n_significant': {0.05: 34, 0.01: 3, 0.001: 0}, 'frac_significant': {0.05: 0.04033214709371293, 0.01: 0.0035587188612099642, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 14, 1: 124, 2: 862}, 'n_both_nonempty': 862, 'n_ttest_run': 733, 'n_significant': {0.05: 267, 0.01: 176, 0.001: 46}, 'frac_significant': {0.05: 0.36425648021828105, 0.01: 0.24010914051841747, 0.001: 0.06275579809004093}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 32, 1: 125, 2: 843}, 'n_both_nonempty': 843, 'n_ttest_run': 843, 'n_significant': {0.05: 34, 0.01: 3, 0.001: 0}, 'frac_significant': {0.05: 0.04033214709371293, 0.01: 0.0035587188612099642, 0.001: 0.0}}}}"
2,8,results/no_sirl_ts/no_sirl_ts_1786626615.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 18, 1: 141, 2: 841}, 'n_both_nonempty': 841, 'n_ttest_run': 779, 'n_significant': {0.05: 325, 0.01: 219, 0.001: 99}, 'frac_significant': {0.05: 0.417201540436457, 0.01: 0.2811296534017972, 0.001: 0.12708600770218229}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 37, 1: 167, 2: 796}, 'n_both_nonempty': 796, 'n_ttest_run': 789, 'n_significant': {0.05: 214, 0.01: 80, 0.001: 0}, 'frac_significant': {0.05: 0.27122940430925224, 0.01: 0.10139416983523447, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 18, 1: 141, 2: 841}, 'n_both_nonempty': 841, 'n_ttest_run': 779, 'n_significant': {0.05: 325, 0.01: 219, 0.001: 99}, 'frac_significant': {0.05: 0.417201540436457, 0.01: 0.2811296534017972, 0.001: 0.12708600770218229}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 37, 1: 167, 2: 796}, 'n_both_nonempty': 796, 'n_ttest_run': 789, 'n_significant': {0.05: 214, 0.01: 80, 0.001: 0}, 'frac_significant': {0.05: 0.27122940430925224, 0.01: 0.10139416983523447, 0.001: 0.0}}}}"
0,16,results/no_sirl_ts/no_sirl_ts_1786626631.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 2, 1: 0, 2: 998}, 'n_both_nonempty': 998, 'n_ttest_run': 808, 'n_significant': {0.05: 417, 0.01: 335, 0.001: 237}, 'frac_significant': {0.05: 0.5160891089108911, 0.01: 0.4146039603960396, 0.001: 0.2933168316831683}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 14, 1: 0, 2: 986}, 'n_both_nonempty': 986, 'n_ttest_run': 985, 'n_significant': {0.05: 117, 0.01: 17, 0.001: 0}, 'frac_significant': {0.05: 0.11878172588832488, 0.01: 0.017258883248730966, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 2, 1: 0, 2: 998}, 'n_both_nonempty': 998, 'n_ttest_run': 808, 'n_significant': {0.05: 417, 0.01: 335, 0.001: 237}, 'frac_significant': {0.05: 0.5160891089108911, 0.01: 0.4146039603960396, 0.001: 0.2933168316831683}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 14, 1: 0, 2: 986}, 'n_both_nonempty': 986, 'n_ttest_run': 985, 'n_significant': {0.05: 117, 0.01: 17, 0.001: 0}, 'frac_significant': {0.05: 0.11878172588832488, 0.01: 0.017258883248730966, 0.001: 0.0}}}}"
