seed,fbank_size,ckpt_path,query_sim_only,query
0,2,results/literally_just_tversky_sim_gridrobot_laptop_ONLY/tversky_proj_1785766122.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 75, 1: 857, 2: 68}, 'n_both_nonempty': 68, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 289, 1: 653, 2: 58}, 'n_both_nonempty': 58, 'n_ttest_run': 58, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 75, 1: 857, 2: 68}, 'n_both_nonempty': 68, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 289, 1: 653, 2: 58}, 'n_both_nonempty': 58, 'n_ttest_run': 58, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
1,2,results/literally_just_tversky_sim_gridrobot_laptop_ONLY/tversky_proj_1785766125.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 164, 1: 671, 2: 165}, 'n_both_nonempty': 165, 'n_ttest_run': 165, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 267, 1: 668, 2: 65}, 'n_both_nonempty': 65, 'n_ttest_run': 65, 'n_significant': {0.05: 28, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.4307692307692308, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 164, 1: 671, 2: 165}, 'n_both_nonempty': 165, 'n_ttest_run': 165, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 267, 1: 668, 2: 65}, 'n_both_nonempty': 65, 'n_ttest_run': 65, 'n_significant': {0.05: 28, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.4307692307692308, 0.01: 0.0, 0.001: 0.0}}}}"
2,2,results/literally_just_tversky_sim_gridrobot_laptop_ONLY/tversky_proj_1785766129.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 212, 1: 613, 2: 175}, 'n_both_nonempty': 175, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 259, 1: 672, 2: 69}, 'n_both_nonempty': 69, 'n_ttest_run': 69, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 212, 1: 613, 2: 175}, 'n_both_nonempty': 175, 'n_ttest_run': 0, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 259, 1: 672, 2: 69}, 'n_both_nonempty': 69, 'n_ttest_run': 69, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
0,4,results/literally_just_tversky_sim_gridrobot_laptop_ONLY/tversky_proj_1785766133.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 4, 1: 646, 2: 350}, 'n_both_nonempty': 350, 'n_ttest_run': 59, 'n_significant': {0.05: 32, 0.01: 32, 0.001: 18}, 'frac_significant': {0.05: 0.5423728813559322, 0.01: 0.5423728813559322, 0.001: 0.3050847457627119}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 73, 1: 631, 2: 296}, 'n_both_nonempty': 296, 'n_ttest_run': 296, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 4, 1: 646, 2: 350}, 'n_both_nonempty': 350, 'n_ttest_run': 59, 'n_significant': {0.05: 32, 0.01: 32, 0.001: 18}, 'frac_significant': {0.05: 0.5423728813559322, 0.01: 0.5423728813559322, 0.001: 0.3050847457627119}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 73, 1: 631, 2: 296}, 'n_both_nonempty': 296, 'n_ttest_run': 296, 'n_significant': {0.05: 0, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.0, 0.01: 0.0, 0.001: 0.0}}}}"
1,4,results/literally_just_tversky_sim_gridrobot_laptop_ONLY/tversky_proj_1785766137.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 49, 1: 511, 2: 440}, 'n_both_nonempty': 440, 'n_ttest_run': 284, 'n_significant': {0.05: 120, 0.01: 80, 0.001: 20}, 'frac_significant': {0.05: 0.4225352112676056, 0.01: 0.28169014084507044, 0.001: 0.07042253521126761}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 81, 1: 607, 2: 312}, 'n_both_nonempty': 312, 'n_ttest_run': 312, 'n_significant': {0.05: 2, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.00641025641025641, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 49, 1: 511, 2: 440}, 'n_both_nonempty': 440, 'n_ttest_run': 284, 'n_significant': {0.05: 120, 0.01: 80, 0.001: 20}, 'frac_significant': {0.05: 0.4225352112676056, 0.01: 0.28169014084507044, 0.001: 0.07042253521126761}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 81, 1: 607, 2: 312}, 'n_both_nonempty': 312, 'n_ttest_run': 312, 'n_significant': {0.05: 2, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.00641025641025641, 0.01: 0.0, 0.001: 0.0}}}}"
2,4,results/literally_just_tversky_sim_gridrobot_laptop_ONLY/tversky_proj_1785766141.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 54, 1: 580, 2: 366}, 'n_both_nonempty': 366, 'n_ttest_run': 134, 'n_significant': {0.05: 7, 0.01: 7, 0.001: 0}, 'frac_significant': {0.05: 0.05223880597014925, 0.01: 0.05223880597014925, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 92, 1: 649, 2: 259}, 'n_both_nonempty': 259, 'n_ttest_run': 259, 'n_significant': {0.05: 6, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.023166023166023165, 0.01: 0.0, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 54, 1: 580, 2: 366}, 'n_both_nonempty': 366, 'n_ttest_run': 134, 'n_significant': {0.05: 7, 0.01: 7, 0.001: 0}, 'frac_significant': {0.05: 0.05223880597014925, 0.01: 0.05223880597014925, 0.001: 0.0}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 92, 1: 649, 2: 259}, 'n_both_nonempty': 259, 'n_ttest_run': 259, 'n_significant': {0.05: 6, 0.01: 0, 0.001: 0}, 'frac_significant': {0.05: 0.023166023166023165, 0.01: 0.0, 0.001: 0.0}}}}"
0,8,results/literally_just_tversky_sim_gridrobot_laptop_ONLY/tversky_proj_1785766145.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 3, 1: 165, 2: 832}, 'n_both_nonempty': 832, 'n_ttest_run': 714, 'n_significant': {0.05: 252, 0.01: 218, 0.001: 181}, 'frac_significant': {0.05: 0.35294117647058826, 0.01: 0.30532212885154064, 0.001: 0.2535014005602241}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 24, 1: 214, 2: 762}, 'n_both_nonempty': 762, 'n_ttest_run': 762, 'n_significant': {0.05: 52, 0.01: 3, 0.001: 0}, 'frac_significant': {0.05: 0.06824146981627296, 0.01: 0.003937007874015748, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 3, 1: 165, 2: 832}, 'n_both_nonempty': 832, 'n_ttest_run': 714, 'n_significant': {0.05: 252, 0.01: 218, 0.001: 181}, 'frac_significant': {0.05: 0.35294117647058826, 0.01: 0.30532212885154064, 0.001: 0.2535014005602241}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 24, 1: 214, 2: 762}, 'n_both_nonempty': 762, 'n_ttest_run': 762, 'n_significant': {0.05: 52, 0.01: 3, 0.001: 0}, 'frac_significant': {0.05: 0.06824146981627296, 0.01: 0.003937007874015748, 0.001: 0.0}}}}"
1,8,results/literally_just_tversky_sim_gridrobot_laptop_ONLY/tversky_proj_1785766150.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 12, 1: 70, 2: 918}, 'n_both_nonempty': 918, 'n_ttest_run': 675, 'n_significant': {0.05: 132, 0.01: 109, 0.001: 62}, 'frac_significant': {0.05: 0.19555555555555557, 0.01: 0.16148148148148148, 0.001: 0.09185185185185185}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 17, 1: 137, 2: 846}, 'n_both_nonempty': 846, 'n_ttest_run': 846, 'n_significant': {0.05: 52, 0.01: 2, 0.001: 0}, 'frac_significant': {0.05: 0.061465721040189124, 0.01: 0.002364066193853428, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 12, 1: 70, 2: 918}, 'n_both_nonempty': 918, 'n_ttest_run': 675, 'n_significant': {0.05: 132, 0.01: 109, 0.001: 62}, 'frac_significant': {0.05: 0.19555555555555557, 0.01: 0.16148148148148148, 0.001: 0.09185185185185185}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 17, 1: 137, 2: 846}, 'n_both_nonempty': 846, 'n_ttest_run': 846, 'n_significant': {0.05: 52, 0.01: 2, 0.001: 0}, 'frac_significant': {0.05: 0.061465721040189124, 0.01: 0.002364066193853428, 0.001: 0.0}}}}"
2,8,results/literally_just_tversky_sim_gridrobot_laptop_ONLY/tversky_proj_1785766154.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 14, 1: 101, 2: 885}, 'n_both_nonempty': 885, 'n_ttest_run': 675, 'n_significant': {0.05: 240, 0.01: 183, 0.001: 104}, 'frac_significant': {0.05: 0.35555555555555557, 0.01: 0.27111111111111114, 0.001: 0.15407407407407409}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 16, 1: 174, 2: 810}, 'n_both_nonempty': 810, 'n_ttest_run': 809, 'n_significant': {0.05: 38, 0.01: 2, 0.001: 0}, 'frac_significant': {0.05: 0.04697156983930779, 0.01: 0.002472187886279357, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 14, 1: 101, 2: 885}, 'n_both_nonempty': 885, 'n_ttest_run': 675, 'n_significant': {0.05: 240, 0.01: 183, 0.001: 104}, 'frac_significant': {0.05: 0.35555555555555557, 0.01: 0.27111111111111114, 0.001: 0.15407407407407409}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 16, 1: 174, 2: 810}, 'n_both_nonempty': 810, 'n_ttest_run': 809, 'n_significant': {0.05: 38, 0.01: 2, 0.001: 0}, 'frac_significant': {0.05: 0.04697156983930779, 0.01: 0.002472187886279357, 0.001: 0.0}}}}"
0,16,results/literally_just_tversky_sim_gridrobot_laptop_ONLY/tversky_proj_1785766159.pth,"{'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 1, 1: 27, 2: 972}, 'n_both_nonempty': 972, 'n_ttest_run': 910, 'n_significant': {0.05: 249, 0.01: 159, 0.001: 76}, 'frac_significant': {0.05: 0.27362637362637365, 0.01: 0.17472527472527472, 0.001: 0.08351648351648351}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 3, 1: 34, 2: 963}, 'n_both_nonempty': 963, 'n_ttest_run': 957, 'n_significant': {0.05: 138, 0.01: 17, 0.001: 0}, 'frac_significant': {0.05: 0.14420062695924765, 0.01: 0.017763845350052248, 0.001: 0.0}}}","{'sim_only': {'laptop (computer_dist)': {'n_pairs': 1000, 'n_max_trajs': 56, 'n_min_trajs': 448, 'n_nonempty_hist': {0: 1, 1: 27, 2: 972}, 'n_both_nonempty': 972, 'n_ttest_run': 910, 'n_significant': {0.05: 249, 0.01: 159, 0.001: 76}, 'frac_significant': {0.05: 0.27362637362637365, 0.01: 0.17472527472527472, 0.001: 0.08351648351648351}}, 'upright (joint_up)': {'n_pairs': 1000, 'n_max_trajs': 560, 'n_min_trajs': 280, 'n_nonempty_hist': {0: 3, 1: 34, 2: 963}, 'n_both_nonempty': 963, 'n_ttest_run': 957, 'n_significant': {0.05: 138, 0.01: 17, 0.001: 0}, 'frac_significant': {0.05: 0.14420062695924765, 0.01: 0.017763845350052248, 0.001: 0.0}}}}"
